"customer_id";"full_name";"city";"orders_count";"total_items";"total_spent"
92116;Jeanne Perez;Barcelona;17;993;113810.92
60578;Ashlee Powell;Gdansk;16;992;90295.97
31218;Deborah Ramos;Warsaw;13;946;89935.53
12240;Antonio Bender;Milan;23;976;76920.95
10512;Brooke Davis;Milan;27;850;70823.22
34604;Jo Carpenter;Lyon;14;816;59730.76
94255;Steven Benjamin;Gdansk;22;974;56120.53
75820;Jacob Snow;Barcelona;30;1019;51759.01
38360;Rachel Watson;Seville;19;1008;51304.27
47637;Patricia Mendoza;Rome;25;871;49763.03
