"employee_id";"full_name";"shop";"transactions";"total_revenue";"avg_check"
183;Latasha Robinson;Магазин №17;6243;1108177.45;177.51
210;Cory Kelly;Магазин №6;6316;1097572.68;173.78
298;Edward Williams;Магазин №12;6232;1089350.51;174.80
7;Antonio Peters;Магазин №20;6214;1080492.49;173.88
297;Stephanie Cox;Магазин №2;6331;1077862.60;170.25
285;Alyssa Hendricks;Магазин №9;6437;974491.90;151.39
284;Madison Ramirez;Магазин №18;6481;920347.39;142.01
262;Thomas Molina;Магазин №15;6377;887391.90;139.16
166;Ashley Howell;Магазин №20;6254;885176.30;141.54
49;Ronald Lewis;Магазин №17;6442;866244.03;134.47
221;Walter Rogers;Магазин №20;6309;865817.72;137.24
238;Elaine Palmer;Магазин №12;6304;825149.34;130.89
165;Andrea Campbell;Магазин №18;6058;817910.01;135.01
228;Kimberly Walton;Магазин №16;6217;816894.73;131.40
259;Robert Rush;Магазин №17;6434;807150.40;125.45
