"employee_id";"?column?";"shop_name";"total_transactions";"gross_revenue";"net_revenue";"avg_transaction_value";"revenue_rank"
183;Latasha Robinson;Магазин №17;6243;1108177.45;1107234.76;177.51;1
210;Cory Kelly;Магазин №6;6316;1097572.68;1096630.43;173.78;2
298;Edward Williams;Магазин №12;6232;1089350.51;1088415.04;174.80;3
7;Antonio Peters;Магазин №20;6214;1080492.49;1079558.47;173.88;4
297;Stephanie Cox;Магазин №2;6331;1077862.60;1076917.65;170.25;5
285;Alyssa Hendricks;Магазин №9;6437;974491.90;973525.25;151.39;6
284;Madison Ramirez;Магазин №18;6481;920347.39;919375.22;142.01;7
262;Thomas Molina;Магазин №15;6377;887391.90;886439.65;139.16;8
166;Ashley Howell;Магазин №20;6254;885176.30;884238.56;141.54;9
49;Ronald Lewis;Магазин №17;6442;866244.03;865270.90;134.47;10
221;Walter Rogers;Магазин №20;6309;865817.72;864859.25;137.24;11
238;Elaine Palmer;Магазин №12;6304;825149.34;824203.74;130.89;12
165;Andrea Campbell;Магазин №18;6058;817910.01;817008.95;135.01;13
228;Kimberly Walton;Магазин №16;6217;816894.73;815975.68;131.40;14
259;Robert Rush;Магазин №17;6434;807150.40;806197.71;125.45;15
